t0_date,p0_date,event,duration_days,potential_followup_days,p1_date
2018-03-07,2018-02-12,0,224.023287,224.023287,
2017-03-14,2017-02-18,0,582.238079,582.238079,
2018-02-03,2018-01-08,0,255.951447,255.951447,
2018-02-07,2018-01-25,0,251.801748,251.801748,
2017-10-19,2017-10-12,0,362.912662,362.912662,
2018-01-15,2018-01-09,0,275.028542,275.028542,
2017-08-16,2017-08-09,0,426.879664,426.879664,
2017-10-19,2017-10-07,0,362.834653,362.834653,
2017-05-25,2017-05-17,0,510.346204,510.346204,
2017-11-07,2017-10-25,0,343.980972,343.980972,
2018-02-28,2018-02-21,0,230.795278,230.795278,
2018-01-09,2017-12-30,0,280.798738,280.798738,
2017-06-02,2017-05-18,0,502.102465,502.102465,
2017-10-25,2017-10-18,0,356.851586,356.851586,
2018-03-20,2018-03-06,0,210.970799,210.970799,
2017-09-06,2017-08-21,0,405.743588,405.743588,
2017-07-26,2017-07-11,0,448.11294,448.11294,
2017-12-11,2017-12-05,0,309.948218,309.948218,
2017-06-19,2017-06-03,1,190.063333,484.907488,2017-12-26
2018-04-18,2018-04-17,0,181.792766,181.792766,
2017-11-14,2017-11-09,0,336.873102,336.873102,
2018-03-05,2018-02-20,0,225.887014,225.887014,
2018-01-08,2017-12-12,0,282.021586,282.021586,
2018-04-04,2018-03-21,0,196.116296,196.116296,
2017-10-23,2017-10-19,0,358.959919,358.959919,
2018-03-26,2018-03-20,0,205.011389,205.011389,
2017-05-26,2017-05-18,0,509.310185,509.310185,
2017-06-22,2017-06-18,0,482.074618,482.074618,
2017-11-28,2017-11-19,0,322.751736,322.751736,
2017-11-26,2017-11-14,0,325.063449,325.063449,
2017-04-18,2017-04-13,0,546.940891,546.940891,
2017-11-07,2017-10-25,0,343.941968,343.941968,
2018-02-14,2018-02-03,0,244.910752,244.910752,
2018-03-26,2018-03-12,0,204.943299,204.943299,
2017-08-11,2017-08-07,0,432.064282,432.064282,
2018-01-25,2018-01-15,0,264.827361,264.827361,
2017-11-30,2017-11-26,0,321.181644,321.181644,
2017-09-29,2017-09-24,0,382.97,382.97,
2018-03-05,2018-02-22,0,226.114363,226.114363,
2017-03-06,2017-02-25,0,589.927674,589.927674,
2018-01-08,2017-12-03,0,281.933414,281.933414,
2018-01-24,2018-01-09,0,265.948519,265.948519,
2018-03-14,2018-03-06,0,217.119271,217.119271,
2018-02-23,2018-01-31,0,235.809294,235.809294,
2017-05-30,2017-05-22,0,505.245266,505.245266,
